"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\data\menu.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 2, 2, 85
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 5905, 0, 0, 0, 1, 5906
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\package.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Prashant\Desktop\Rasilo_MoMo-Site\client\src\Layout.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
